,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/03 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-02 08:08:11,286,2015-06-02
1,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/04 00:00:00 MDT,4000,ALB GAS,Daily,2,2015-06-03 07:40:43,7276,2015-06-03
2,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/05 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-04 05:31:12,8998,2015-06-04
3,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/06 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-05 03:37:55,12639,2015-06-05
4,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/08 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-08 00:43:23,15256,2015-06-08
5,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/10 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-09 07:37:35,17808,2015-06-09
6,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/10 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-10 00:59:35,20425,2015-06-10
7,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/12 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-11 06:21:51,23454,2015-06-11
8,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/14 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-13 23:46:03,49702,2015-06-13
9,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/15 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-14 23:46:06,69486,2015-06-14
10,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/16 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-15 23:46:04,100077,2015-06-15
11,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/17 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-16 23:46:02,122355,2015-06-16
12,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/18 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-17 23:46:05,140962,2015-06-17
13,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/19 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-18 23:46:03,159729,2015-06-18
14,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/20 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-19 23:46:02,176164,2015-06-19
15,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/21 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-20 23:46:05,190660,2015-06-20
16,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/22 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-21 23:46:04,215885,2015-06-21
17,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/23 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-22 23:46:05,238991,2015-06-22
18,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/24 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-23 23:46:01,276732,2015-06-23
19,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/25 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-24 23:45:09,306873,2015-06-24
20,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/26 00:00:00 MDT,4000,ALB GAS,Daily,9,2015-06-25 23:45:08,338299,2015-06-25
21,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/27 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-26 23:45:10,367615,2015-06-26
22,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/28 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-27 23:45:10,394760,2015-06-27
23,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/29 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-28 23:45:10,418931,2015-06-28
24,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/30 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-29 23:45:12,449746,2015-06-29
25,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/01 00:00:00 MDT,4000,ALB GAS,Daily,8,2015-06-30 23:45:10,476411,2015-06-30
26,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/02 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-01 23:45:15,507799,2015-07-01
27,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/03 00:00:00 MDT,4000,ALB GAS,Daily,6,2015-07-02 14:45:11,526874,2015-07-02
28,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/04 00:00:00 MDT,4000,ALB GAS,Daily,2,2015-07-03 09:18:00,533438,2015-07-03
29,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/05 00:00:00 MDT,4000,ALB GAS,Daily,2,2015-07-04 08:40:10,540777,2015-07-04
30,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/06 00:00:00 MDT,4000,ALB GAS,Daily,2,2015-07-05 08:40:10,547220,2015-07-05
31,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/07 00:00:00 MDT,4000,ALB GAS,Daily,2,2015-07-06 08:41:08,553536,2015-07-06
32,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/08 00:00:00 MDT,4000,ALB GAS,Daily,4,2015-07-07 22:41:08,566549,2015-07-07
33,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/09 00:00:00 MDT,4000,ALB GAS,Daily,3,2015-07-08 12:41:06,576150,2015-07-08
34,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/11 00:00:00 MDT,4000,ALB GAS,Daily,9,2015-07-10 23:46:08,607467,2015-07-10
35,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/12 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-11 23:46:06,637517,2015-07-11
36,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/13 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-12 23:46:09,666931,2015-07-12
37,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/14 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-13 23:46:05,697527,2015-07-13
38,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/15 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-14 23:46:07,729393,2015-07-14
39,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/16 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-15 23:46:06,754867,2015-07-15
40,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/17 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-16 23:46:09,788169,2015-07-16
41,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/18 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-17 23:46:09,820193,2015-07-17
42,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/19 00:00:00 MDT,4000,ALB GAS,Daily,9,2015-07-18 23:46:05,850655,2015-07-18
43,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/20 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-19 23:46:07,881916,2015-07-19
44,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/21 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-20 23:46:08,912251,2015-07-20
45,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/22 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-21 23:46:05,942746,2015-07-21
46,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/23 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-22 23:46:08,974898,2015-07-22
47,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/24 00:00:00 MDT,4000,ALB GAS,Daily,9,2015-07-23 23:45:10,1002554,2015-07-23
48,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/25 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-24 23:45:11,1032799,2015-07-24
49,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/26 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-25 23:45:07,1062117,2015-07-25
50,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/27 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-26 23:45:07,1092172,2015-07-26
51,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/28 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-27 23:45:10,1122482,2015-07-27
52,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/29 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-28 23:45:06,1152792,2015-07-28
53,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/30 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-29 23:45:11,1183102,2015-07-29
54,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/31 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-30 23:45:09,1213412,2015-07-30
55,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,08/01 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-07-31 23:45:07,1243722,2015-07-31
56,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,7000,Albuquerque NM - VEC - T109,0,7000,0,0,06/03 00:00:00 MDT,7000,V,Daily,1,2015-06-02 08:08:11,287,2015-06-02
57,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,1000000,Albuquerque NM - VEC - T109,0,1000000,0,0,07/01 00:00:00 MDT,1000000,V,Monthly,1,2015-06-02 08:08:11,289,2015-06-02
