,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),0,8036,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,10,2015-07-01 23:48:47,508148,2015-07-01
1,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),0,8036,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,7,2015-07-02 14:50:06,528373,2015-07-02
2,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),0,8036,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,3,2015-07-03 09:24:29,535991,2015-07-03
3,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),1199,6837,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,2,2015-07-04 08:44:50,542276,2015-07-04
4,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),1199,6837,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,3,2015-07-05 08:45:00,548719,2015-07-05
5,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),2401,5635,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,2,2015-07-06 08:46:04,555035,2015-07-06
6,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),3700,4336,0,0,07/08 00:00:00 EDT,7305,PREMIUM,Weekly,6,2015-07-07 22:45:48,568048,2015-07-07
7,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),1205,6831,0,0,07/15 00:00:00 EDT,7305,PREMIUM,Weekly,5,2015-07-08 14:02:06,578070,2015-07-08
8,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),7910,126,8000,8000,07/15 00:00:00 EDT,7305,PREMIUM,Weekly,9,2015-07-10 23:51:03,609037,2015-07-10
9,BP,Contract,,Available,110%,Channel: 50 - Commercial,7305,8036,CANTON OH - BUCKEYE (PLANT 9180),7910,126,8000,8000,07/15 00:00:00 EDT,7305,PREMIUM,Weekly,10,2015-07-11 23:51:11,639277,2015-07-11
