,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,107%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,8805.0,7252.0,,,06/02 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-02 08:10:06,427,2015-06-02
1,87%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,17606.0,464109.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-02 08:10:06,429,2015-06-02
2,90%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,79264.0,33136.0,,,06/03 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-02 08:10:06,428,2015-06-02
3,112%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,8810.0,7247.0,,,06/03 18:00:00 MDT,,GASOLINE,Daily,2,2015-06-03 07:41:42,6267,2015-06-03
4,73%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,26416.0,455299.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,2,2015-06-03 07:41:42,6269,2015-06-03
5,85%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,88074.0,24326.0,,,06/03 18:00:00 MDT,,GASOLINE,Weekly,2,2015-06-03 07:41:42,6268,2015-06-03
6,137%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,8796.0,7261.0,,,06/04 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-04 05:32:18,9139,2015-06-04
7,70%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,35212.0,446503.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-04 05:32:18,9141,2015-06-04
8,137%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,8796.0,103604.0,,,06/10 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-04 05:32:18,9140,2015-06-04
9,171%,Available,150%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,24086.0,ALBUQUERQUE NM PSX - 030A,8846.0,15240.0,,,06/05 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-05 03:37:55,11558,2015-06-05
10,81%,Available,125%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,602144.0,ALBUQUERQUE NM PSX - 030A,52954.0,549190.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-05 03:37:55,11560,2015-06-05
11,125%,Available,150%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,168600.0,ALBUQUERQUE NM PSX - 030A,26538.0,142062.0,,,06/10 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-05 03:37:55,11559,2015-06-05
12,0%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,0.0,16057.0,,,06/08 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-08 00:43:23,14048,2015-06-08
13,79%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,88403.0,393312.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-08 00:43:23,14050,2015-06-08
14,92%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,61987.0,50413.0,,,06/10 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-08 00:43:23,14049,2015-06-08
15,0%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,0.0,16057.0,,,06/09 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-09 07:37:47,16800,2015-06-09
16,80%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,106021.0,375694.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-09 07:37:47,16802,2015-06-09
17,90%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,79605.0,32795.0,,,06/10 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-09 07:37:47,16801,2015-06-09
18,0%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,0.0,16057.0,,,06/10 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-10 00:59:51,19417,2015-06-10
19,80%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,114837.0,366878.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-10 00:59:51,19419,2015-06-10
20,89%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,88421.0,23979.0,,,06/10 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-10 00:59:51,19418,2015-06-10
21,125%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,8710.0,7347.0,,,06/11 18:00:00 MDT,,GASOLINE,Daily,1,2015-06-11 06:21:51,22319,2015-06-11
22,81%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,132264.0,349451.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,1,2015-06-11 06:21:51,22321,2015-06-11
23,125%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,8710.0,103690.0,,,06/17 18:00:00 MDT,,GASOLINE,Weekly,1,2015-06-11 06:21:51,22320,2015-06-11
24,57%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,8706.0,7351.0,,,06/13 18:00:00 MDT,,GASOLINE,Daily,7,2015-06-13 18:46:05,44615,2015-06-13
25,78%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,158691.0,323024.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,7,2015-06-13 18:46:05,44617,2015-06-13
26,74%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,35137.0,77263.0,,,06/17 18:00:00 MDT,,GASOLINE,Weekly,7,2015-06-13 18:46:05,44616,2015-06-13
27,0%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,0.0,16057.0,,,06/16 18:00:00 MDT,,GASOLINE,Daily,10,2015-06-15 23:46:04,99069,2015-06-15
28,81%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,193714.0,288001.0,,,07/01 00:00:00 MDT,,GASOLINE,Monthly,10,2015-06-15 23:46:04,99071,2015-06-15
29,85%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,70160.0,42240.0,,,06/17 18:00:00 MDT,,GASOLINE,Weekly,10,2015-06-15 23:46:04,99070,2015-06-15
30,102%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,8806.0,7251.0,0.0,0.0,06/16 18:00:00 MDT,,GASOLINE,Daily,3,2015-06-16 08:46:04,108318,2015-06-16
31,83%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,202520.0,279195.0,0.0,0.0,07/01 00:00:00 MDT,,GASOLINE,Monthly,3,2015-06-16 08:46:04,108320,2015-06-16
32,89%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,78966.0,33434.0,0.0,0.0,06/17 18:00:00 MDT,,GASOLINE,Weekly,3,2015-06-16 08:46:04,108319,2015-06-16
33,0%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,0.0,16057.0,0.0,0.0,06/22 18:00:00 MDT,,GASOLINE,Daily,10,2015-06-21 23:46:04,214877,2015-06-21
34,81%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,272993.0,208722.0,0.0,0.0,07/01 00:00:00 MDT,,GASOLINE,Monthly,10,2015-06-21 23:46:04,214879,2015-06-21
35,79%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,52863.0,59537.0,0.0,0.0,06/24 18:00:00 MDT,,GASOLINE,Weekly,10,2015-06-21 23:46:04,214878,2015-06-21
36,177%,Out,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,17618.0,-1561.0,0.0,0.0,06/22 18:00:00 MDT,,GASOLINE,Daily,4,2015-06-22 10:46:05,227122,2015-06-22
37,85%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,290611.0,191104.0,0.0,0.0,07/01 00:00:00 MDT,,GASOLINE,Monthly,4,2015-06-22 10:46:05,227124,2015-06-22
38,95%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,112400.0,112400.0,ALBUQUERQUE NM PSX - 030A,70481.0,41919.0,0.0,0.0,06/24 18:00:00 MDT,,GASOLINE,Weekly,4,2015-06-22 10:46:05,227123,2015-06-22
39,0%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,16057.0,16057.0,ALBUQUERQUE NM PSX - 030A,0.0,16057.0,0.0,0.0,06/24 18:00:00 MDT,,GASOLINE,Daily,12,2015-06-23 20:46:03,273781,2015-06-23
40,84%,Available,100%,PILOT TRAVEL CENTERS LLC-10024029BR,481715.0,481715.0,ALBUQUERQUE NM PSX - 030A,308243.0,173472.0,0.0,0.0,07/01 00:00:00 MDT,,GASOLINE,Monthly,12,2015-06-23 20:46:03,273783,2015-06-23
