,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,72951,86534,0,0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-01 23:49:37,509297,2015-07-01
1,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,81951,77534,0,0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,6,2015-07-02 14:49:26,528499,2015-07-02
2,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,94050,65435,0,0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-07-03 09:24:32,536086,2015-07-03
3,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,0,159485,0,0,07/11 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-07-04 08:44:35,542402,2015-07-04
4,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,7600,151885,0,0,07/11 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-07-05 08:44:25,548845,2015-07-05
5,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,20600,138885,0,0,07/11 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-07-06 08:45:24,555161,2015-07-06
6,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,26100,133385,0,0,07/11 00:00:00 PST,,CA EPA ULSD,Weekly,4,2015-07-07 22:45:33,568174,2015-07-07
7,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,33700,125785,0,0,07/11 00:00:00 PST,,CA EPA ULSD,Weekly,3,2015-07-08 12:45:26,577648,2015-07-08
8,Tesoro,Contract,,Limited,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,130099,29386,0,0,07/11 00:00:00 PST,,CA EPA ULSD,Weekly,9,2015-07-10 23:48:28,608744,2015-07-10
9,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,8575,150910,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-11 23:48:26,638984,2015-07-11
10,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,16025,143460,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-12 23:48:44,668398,2015-07-12
11,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,35225,124260,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-07-13 23:48:35,698994,2015-07-13
12,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,49575,109910,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-07-14 23:48:27,730860,2015-07-14
13,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,55875,103610,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-07-15 23:50:41,756461,2015-07-15
14,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,73475,86010,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,12,2015-07-16 23:48:49,789763,2015-07-16
15,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,88475,71010,0,0,07/18 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-07-17 23:48:44,821787,2015-07-17
16,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,14901,144584,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-07-18 23:48:35,852249,2015-07-18
17,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,28651,130834,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-19 23:48:47,883510,2015-07-19
18,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,36251,123234,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,3,2015-07-20 08:48:30,893238,2015-07-20
19,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,57251,102234,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,9,2015-07-21 23:48:51,944086,2015-07-21
20,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,74951,84534,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-22 23:48:33,976492,2015-07-22
21,Tesoro,Contract,,Unknown,,HIGH VOLUME TRUCK STOP,0,144986,AZ - PHOENIX KM & PRO,99051,60434,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,1,2015-07-23 16:30:00,98549,2015-07-23
22,Tesoro,Contract,,Limited,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,128401,31084,0,0,07/25 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-24 23:45:00,1031266,2015-07-24
23,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,15100,144385,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-25 20:48:02,1060553,2015-07-25
24,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,159485,AZ - PHOENIX KM & PRO,15100,144385,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-26 23:47:58,1093639,2015-07-26
25,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,29600,257579,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-27 23:47:54,1123949,2015-07-27
26,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,41201,245978,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-28 23:47:52,1154259,2015-07-28
27,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,56201,230978,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-29 23:47:45,1184569,2015-07-29
28,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,78752,208427,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-30 23:47:59,1214879,2015-07-30
29,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,86353,200826,0,0,08/01 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-07-31 23:48:07,1245062,2015-07-31
30,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,0,287179,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-08-01 23:47:49,1273522,2015-08-01
31,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,0,287179,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-08-02 23:48:23,1303132,2015-08-02
32,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,22500,264679,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-08-03 23:47:41,1332800,2015-08-03
33,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,60150,227029,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-08-04 23:47:43,1362983,2015-08-04
34,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,75251,211928,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-08-05 20:47:39,1391468,2015-08-05
35,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,95401,191778,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-08-06 23:48:47,1428595,2015-08-06
36,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,117952,169227,0,0,08/08 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-08-07 23:49:03,1462979,2015-08-07
37,Tesoro,Contract,,Available,,HIGH VOLUME TRUCK STOP,0,287179,AZ - PHOENIX KM & PRO,30200,256979,0,0,08/15 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-08-08 23:47:48,1497268,2015-08-08
