,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,,Unknown,,HIGH VOLUME TRUCK STOP,,144986.0,AZ - PHOENIX KM & PRO,47710.0,111775.0,,,06/06 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-06-03 07:42:43,950,2015-06-03
1,,Available,,HIGH VOLUME TRUCK STOP,,159485.0,AZ - PHOENIX KM & PRO,0.0,159485.0,,,06/20 00:00:00 PST,,CA EPA ULSD,Weekly,9,2015-06-13 23:53:33,51295,2015-06-13
2,,Available,,HIGH VOLUME TRUCK STOP,,159485.0,AZ - PHOENIX KM & PRO,15001.0,144484.0,,,06/20 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-06-14 23:53:46,71079,2015-06-14
3,,Available,,HIGH VOLUME TRUCK STOP,,159485.0,AZ - PHOENIX KM & PRO,30101.0,129384.0,,,06/20 00:00:00 PST,,CA EPA ULSD,Weekly,10,2015-06-15 23:53:39,101606,2015-06-15
4,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,30101.0,129384.0,0.0,0.0,06/20 00:00:00 PST,,CA EPA ULSD,Weekly,4,2015-06-16 10:56:45,112894,2015-06-16
5,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,97006.0,62479.0,0.0,0.0,06/20 00:00:00 PST,,CA EPA ULSD,Weekly,1,2015-06-19 02:27:39,161291,2015-06-19
6,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,0.0,159485.0,0.0,0.0,06/27 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-06-21 09:20:43,201281,2015-06-21
7,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,21600.0,137885.0,0.0,0.0,06/27 00:00:00 PST,,CA EPA ULSD,Weekly,3,2015-06-22 12:50:27,231890,2015-06-22
8,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,29050.0,130435.0,0.0,0.0,06/27 00:00:00 PST,,CA EPA ULSD,Weekly,3,2015-06-23 08:51:25,258868,2015-06-23
9,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,64255.0,95230.0,0.0,0.0,06/27 00:00:00 PST,,CA EPA ULSD,Weekly,4,2015-06-24 08:55:52,289008,2015-06-24
10,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,86755.0,72730.0,0.0,0.0,06/27 00:00:00 PST,,CA EPA ULSD,Weekly,2,2015-06-25 06:55:44,316699,2015-06-25
11,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,94255.0,65230.0,0.0,0.0,06/27 00:00:00 PST,,CA EPA ULSD,Weekly,1,2015-06-26 07:02:11,345761,2015-06-26
12,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,0.0,159485.0,0.0,0.0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,1,2015-06-27 04:11:34,372143,2015-06-27
13,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,15200.0,144285.0,0.0,0.0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,1,2015-06-28 04:27:23,398266,2015-06-28
14,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,30400.0,129085.0,0.0,0.0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,7,2015-06-29 20:49:22,448213,2015-06-29
15,,Available,,HIGH VOLUME TRUCK STOP,0.0,159485.0,AZ - PHOENIX KM & PRO,45400.0,114085.0,0.0,0.0,07/04 00:00:00 PST,,CA EPA ULSD,Weekly,11,2015-06-30 23:49:36,478036,2015-06-30
