index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",id,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-01 00:00:00",0,0,0,6000,0,w1,w1,"2015-07-01 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Available,NULL,Available,150%,NULL,140%,"Below Trend",NULL,"Above Trend","07/02 00:00:00 CDT",NULL,0,"2015-07-02 00:00:00",1,1,1,1,1
"2015-07-02 00:00:00",5500,5500,5500,5500,0,w2,w2,"2015-07-02 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Out,NULL,Out,150%,NULL,140%,"Above Trend",NULL,"Above Trend","07/03 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",19,1,1,0,0
"2015-07-03 00:00:00",0,0,0,5500,0,w2,w2,"2015-07-03 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Out,NULL,Out,150%,NULL,140%,"Below Trend",NULL,"Above Trend","07/04 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",37,1,1,0,0
"2015-07-04 00:00:00",0,0,0,5500,0,w2,w2,"2015-07-04 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Out,NULL,Out,150%,NULL,140%,"Below Trend",NULL,"Above Trend","07/05 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",55,1,1,0,0
"2015-07-05 00:00:00",0,0,0,5500,0,w2,w2,"2015-07-05 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Out,NULL,Out,150%,NULL,140%,"Below Trend",NULL,"Above Trend","07/06 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",73,1,1,0,0
"2015-07-06 00:00:00",0,0,0,5500,0,w2,w2,"2015-07-06 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Available,NULL,Available,150%,NULL,140%,"Below Trend",NULL,"Above Trend","07/07 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",91,1,1,0,0
"2015-07-07 00:00:00",1200,1200,1200,6700,0,w2,w2,"2015-07-07 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Available,NULL,Available,150%,NULL,140%,"Above Trend",NULL,"Above Trend","07/08 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",109,1,1,0,0
"2015-07-08 00:00:00",0,0,0,6700,0,w2,w2,"2015-07-08 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Available,NULL,Available,150%,NULL,140%,"Below Trend",NULL,"Above Trend","07/09 00:00:00 CDT",NULL,0,"2015-07-09 00:00:00",128,1,1,0,0
"2015-07-09 00:00:00",0,0,0,0,0,w3,w3,"2015-07-09 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-16 00:00:00",0,1,1,0,0
"2015-07-10 00:00:00",1200,1200,1200,1200,0,w3,w3,"2015-07-10 00:00:00","PILOT TRAVEL CENTERS LLC 103637 IW","BATON ROUGE LA (MOC) - 00CE","Prem CG DS",362,NULL,2534,0,0,543,NULL,3548,Out,NULL,Out,150%,NULL,140%,"Above Trend",NULL,"Above Trend","07/11 00:00:00 CDT",NULL,0,"2015-07-16 00:00:00",147,1,1,0,0
