index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",id,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-15 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-15 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","Above Trend","Below Trend","07/16 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",340,1,1,1,1
"2015-07-16 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-16 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","Above Trend","Below Trend","07/17 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",366,1,1,1,1
"2015-07-17 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-17 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","Above Trend","Below Trend","07/18 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",392,1,1,1,1
"2015-07-18 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-18 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","Above Trend","Below Trend","07/19 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",418,1,1,1,1
"2015-07-19 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-19 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","Above Trend","Below Trend","07/20 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",444,1,1,1,1
"2015-07-20 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-20 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/21 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",470,1,1,1,1
"2015-07-21 00:00:00",0,0,0,0,7708,w2,w3,"2015-07-21 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/22 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-22 00:00:00",496,1,1,1,1
"2015-07-22 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-22 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/23 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",522,1,1,1,1
"2015-07-23 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-23 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/24 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",548,1,1,1,1
"2015-07-24 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-24 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/25 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",574,1,1,1,1
"2015-07-25 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-25 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/26 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",600,1,1,1,1
"2015-07-26 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-26 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/27 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",626,1,1,1,1
"2015-07-27 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-27 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/28 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",652,1,1,1,1
"2015-07-28 00:00:00",0,0,0,0,7708,w2,w4,"2015-07-28 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/29 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-07-29 00:00:00",678,1,1,1,1
"2015-07-29 00:00:00",0,0,0,0,7708,w2,w5,"2015-07-29 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/30 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-08-05 00:00:00",704,1,1,1,1
"2015-07-30 00:00:00",0,0,0,0,7708,w2,w5,"2015-07-30 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","07/31 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-08-05 00:00:00",730,1,1,1,1
"2015-07-31 00:00:00",0,0,0,0,7708,w2,w5,"2015-07-31 00:00:00","PILOT TRAVEL CENTERS LLC : AC7460761","1037 PASCAGOULA MS TRM CHEVRON","DIESEL #2",457,14167,3199,0,0,686,15584,3999,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","Below Trend","08/01 00:00:00 CDT","08/01 00:00:00 CDT",0,"2015-08-05 00:00:00",756,1,1,1,1
"2015-07-01 00:00:00",53720,53720,53720,53720,53720,w1,w1,"2015-07-01 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,0,0,65729,1494217,383414,Low,Available,Available,150%,110%,125%,"Above Trend","Above Trend","Above Trend","07/02 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",12,1,1,1,1
"2015-07-02 00:00:00",38414,38414,23009,92134,92134,w1,w1,"2015-07-02 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"On Target","Above Trend","Above Trend","07/03 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",38,1,1,1,1
"2015-07-03 00:00:00",23108,23108,7701,115242,115242,w1,w1,"2015-07-03 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"On Target","Above Trend","Above Trend","07/04 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",64,1,1,1,1
"2015-07-04 00:00:00",15404,15404,0,130646,130646,w1,w1,"2015-07-04 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"Below Trend","Above Trend","On Target","07/05 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",90,1,1,1,1
"2015-07-05 00:00:00",7605,7605,0,138251,138251,w1,w1,"2015-07-05 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"Below Trend","On Target","On Target","07/06 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",116,1,1,1,1
"2015-07-06 00:00:00",15504,15504,7702,153755,153755,w1,w1,"2015-07-06 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",43819,1358379,306731,1,1,65729,1494217,383414,Available,Available,Available,150%,110%,125%,"On Target","On Target","On Target","07/07 00:00:00 PDT","08/01 00:00:00 PDT",0,"2015-07-08 00:00:00",142,1,1,1,1
