index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",id,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-06-01 00:00:00",0,0,0,0,0,w1,w1,"2015-06-01 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-03 00:00:00",0,1,1,1,1
"2015-06-02 00:00:00",0,0,0,139253,0,w1,w1,"2015-06-02 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",38014,1140406,266095,0,0,57021,1254447,332619,Available,Available,Available,150%,110%,125%,"Below Trend","Below Trend","On Target","06/03 00:00:00 PDT","07/01 00:00:00 PDT",0,"2015-06-03 00:00:00",12,0,0,1,1
"2015-06-03 00:00:00",0,0,0,0,0,w2,w2,"2015-06-03 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",38014,1140406,266095,0,0,57021,1254447,332619,Available,Available,Available,150%,110%,125%,"Below Trend","Below Trend","Below Trend","06/04 00:00:00 PDT","07/01 00:00:00 PDT",0,"2015-06-10 00:00:00",39,1,1,1,1
"2015-06-04 00:00:00",0,0,0,0,0,w2,w2,"2015-06-04 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",38014,1140406,266095,0,0,57021,1254447,332619,Available,Available,Available,150%,110%,125%,"Below Trend","Below Trend","Below Trend","06/05 00:00:00 PDT","07/01 00:00:00 PDT",0,"2015-06-10 00:00:00",66,1,1,1,1
"2015-06-05 00:00:00",0,0,0,0,0,w2,w2,"2015-06-05 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",38014,1140406,266095,0,0,57021,1254447,332619,Available,Available,Available,150%,110%,125%,"Below Trend","Below Trend","Below Trend","06/06 00:00:00 PDT","07/01 00:00:00 PDT",0,"2015-06-10 00:00:00",93,1,1,1,1
"2015-06-06 00:00:00",0,0,0,0,0,w2,w2,"2015-06-06 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-10 00:00:00",0,1,1,1,1
"2015-06-07 00:00:00",0,0,0,0,0,w2,w2,"2015-06-07 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-10 00:00:00",0,1,1,1,1
"2015-06-08 00:00:00",0,0,0,0,0,w2,w2,"2015-06-08 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",38014,1140406,266095,0,0,57021,1254447,332619,Available,Available,Available,150%,110%,125%,"Below Trend","Below Trend","Below Trend","06/08 00:00:00 PDT","07/01 00:00:00 PDT",0,"2015-06-10 00:00:00",120,1,1,1,1
"2015-06-09 00:00:00",0,0,0,0,0,w2,w2,"2015-06-09 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-10 00:00:00",0,1,1,1,1
"2015-06-10 00:00:00",0,0,0,0,0,w2,w2,"2015-06-10 00:00:00","PILOT TRAVEL CENTERS LLC : CHV7460761","1002 TRACY CA TRM CHEVRON","DIESEL #2",38014,1140406,266095,0,0,57021,1254447,332619,Available,Available,Available,150%,110%,125%,"Below Trend","Below Trend","Below Trend","06/10 00:00:00 PDT","07/01 00:00:00 PDT",0,"2015-06-10 00:00:00",150,1,1,1,1
