,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Chevron,Contract,Below Trend,Available,200%,PILOT TRAVEL CENTERS LLC : AC7460761,563,1126,1010 SAN JOSE CA TRM CHEVRON,0,1126,0,0,07/02 00:00:00 PDT,563,DIESEL #2,Daily,10,2015-07-01 23:47:42,507992,2015-07-01
1,Chevron,Contract,Below Trend,Available,110%,PILOT TRAVEL CENTERS LLC : AC7460761,17462,19208,1010 SAN JOSE CA TRM CHEVRON,0,19208,0,0,08/01 00:00:00 PDT,17462,DIESEL #2,Monthly,10,2015-07-01 23:47:42,507994,2015-07-01
2,Chevron,Contract,Below Trend,Available,125%,PILOT TRAVEL CENTERS LLC : AC7460761,3943,4929,1010 SAN JOSE CA TRM CHEVRON,0,4929,0,0,07/08 00:00:00 PDT,3943,DIESEL #2,Weekly,10,2015-07-01 23:47:42,507993,2015-07-01
3,Chevron,Contract,Below Trend,Available,200%,PILOT TRAVEL CENTERS LLC : AC7460761,563,1126,1010 SAN JOSE CA TRM CHEVRON,0,1126,0,0,07/03 00:00:00 PDT,563,DIESEL #2,Daily,6,2015-07-02 14:47:31,527067,2015-07-02
4,Chevron,Contract,Below Trend,Available,110%,PILOT TRAVEL CENTERS LLC : AC7460761,17462,19208,1010 SAN JOSE CA TRM CHEVRON,0,19208,0,0,08/01 00:00:00 PDT,17462,DIESEL #2,Monthly,6,2015-07-02 14:47:31,527069,2015-07-02
5,Chevron,Contract,Below Trend,Available,125%,PILOT TRAVEL CENTERS LLC : AC7460761,3943,4929,1010 SAN JOSE CA TRM CHEVRON,0,4929,0,0,07/08 00:00:00 PDT,3943,DIESEL #2,Weekly,6,2015-07-02 14:47:31,527068,2015-07-02
6,Chevron,Contract,Below Trend,Available,200%,PILOT TRAVEL CENTERS LLC : AC7460761,563,1126,1010 SAN JOSE CA TRM CHEVRON,0,1126,0,0,07/04 00:00:00 PDT,563,DIESEL #2,Daily,2,2015-07-03 09:22:08,534718,2015-07-03
7,Chevron,Contract,Below Trend,Available,110%,PILOT TRAVEL CENTERS LLC : AC7460761,17462,19208,1010 SAN JOSE CA TRM CHEVRON,0,19208,0,0,08/01 00:00:00 PDT,17462,DIESEL #2,Monthly,2,2015-07-03 09:22:08,534720,2015-07-03
8,Chevron,Contract,Below Trend,Available,125%,PILOT TRAVEL CENTERS LLC : AC7460761,3943,4929,1010 SAN JOSE CA TRM CHEVRON,0,4929,0,0,07/08 00:00:00 PDT,3943,DIESEL #2,Weekly,2,2015-07-03 09:22:08,534719,2015-07-03
9,Chevron,Contract,Below Trend,Available,200%,PILOT TRAVEL CENTERS LLC : AC7460761,563,1126,1010 SAN JOSE CA TRM CHEVRON,0,1126,0,0,07/05 00:00:00 PDT,563,DIESEL #2,Daily,2,2015-07-04 08:42:40,540970,2015-07-04
