,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,BP,Contract,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),3400,4636,0,0,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,2,2015-06-03 07:40:38,633,2015-06-03
1,BP,Contract,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),5601,2435,0,0,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,1,2015-06-04 05:31:03,1076,2015-06-04
2,BP,Contract,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),8601,0,8000,7434,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,1,2015-06-05 03:38:23,1139,2015-06-05
3,BP,Contract,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),15607,0,8000,428,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,1,2015-06-08 00:43:49,1329,2015-06-08
4,BP,Contract,,Unknown,110,50 - Commercial,7305,,CANTON OH - BUCKEYE (PLANT 9180),15607,0,8000,428,06/10 00:00:00 EDT,7305,PREMIUM,Weekly,2,2015-06-09 07:55:45,1582,2015-06-09
5,BP,Contract,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),39805,14941,0,0,06/04 00:00:00 EDT,27373,REGULAR,Daily,2,2015-06-03 07:40:38,634,2015-06-03
6,BP,Contract,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),39805,170968,0,0,06/10 00:00:00 EDT,191612,REGULAR,Weekly,2,2015-06-03 07:40:38,635,2015-06-03
7,BP,Contract,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),0,54746,8000,9960,06/05 00:00:00 EDT,27373,REGULAR,Daily,1,2015-06-04 05:31:03,1077,2015-06-04
8,BP,Contract,,Unknown,110,50 - Commercial,191612,,CANTON OH - BUCKEYE (PLANT 9180),72706,156027,8000,9960,06/10 00:00:00 EDT,191612,REGULAR,Weekly,1,2015-06-04 05:31:03,1078,2015-06-04
9,BP,Contract,,Unknown,200,50 - Commercial,27373,54746.0,CANTON OH - BUCKEYE (PLANT 9180),16306,38440,8000,13327,06/06 00:00:00 EDT,27373,REGULAR,Daily,1,2015-06-05 03:38:23,1140,2015-06-05
