,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-02 09:00:49,2337,2015-06-02
1,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,2,2015-06-03 07:43:44,8304,2015-06-03
2,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-04 05:33:18,11053,2015-06-04
3,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-05 03:41:12,13533,2015-06-05
4,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-08 00:45:54,16278,2015-06-08
5,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-09 07:40:39,18860,2015-06-09
6,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-10 01:03:49,21732,2015-06-10
7,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,1,2015-06-11 06:24:07,24601,2015-06-11
8,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,9,2015-06-13 23:46:03,50594,2015-06-13
9,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,9,2015-06-14 23:46:06,70378,2015-06-14
10,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-15 23:46:04,101003,2015-06-15
11,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-16 23:46:02,123250,2015-06-16
12,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-17 23:46:06,141856,2015-06-17
13,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-18 23:46:03,160623,2015-06-18
14,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,8,2015-06-19 23:46:02,177057,2015-06-19
15,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,8,2015-06-20 20:46:03,190023,2015-06-20
16,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,7,2015-06-21 23:46:04,216840,2015-06-21
17,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,8,2015-06-22 20:46:04,237972,2015-06-22
18,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,16,2015-06-23 23:46:01,277754,2015-06-23
19,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,11,2015-06-24 23:45:09,308084,2015-06-24
20,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-25 20:45:09,336352,2015-06-25
21,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,11,2015-06-26 23:45:10,368571,2015-06-26
22,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-27 23:45:10,395653,2015-06-27
23,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-28 23:45:10,420014,2015-06-28
24,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,10,2015-06-29 23:45:12,450826,2015-06-29
25,Below Trend,Available,100%,PILOT TRAVEL CENTE-122194-W/S - Rail,650000.0,650000.0,MCKEE RAIL TERMINAL,0.0,650000.0,0.0,0.0,07/01 00:00:00 EDT,,DSL - LSD/ULSD,Monthly,7,2015-06-30 23:45:10,477491,2015-06-30
26,Below Trend,Out,100%,PILOT TRAVEL CENTE-122194-W/S - UNB Contract,0.0,0.0,JP Energy - Little Rock (B004),0.0,0.0,0.0,0.0,07/01 00:00:00 CDT,,DSL - LSD/ULSD,Monthly,1,2015-06-02 09:00:49,1930,2015-06-02
27,Below Trend,Out,100%,PILOT TRAVEL CENTE-122194-W/S - UNB Contract,0.0,0.0,JP Energy - Little Rock (B004),0.0,0.0,0.0,0.0,07/01 00:00:00 CDT,,DSL - LSD/ULSD,Monthly,2,2015-06-03 07:43:44,7897,2015-06-03
