index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-06-01 00:00:00",0,0,0,0,0,w1,w1,"2015-06-01 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-04 00:00:00",1,1,1,1
"2015-06-02 00:00:00",7500,7500,7500,202631,52500,w1,w1,"2015-06-02 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,0,0,41983,1259500,293882,Available,Available,Limited,120%,120%,120%,"Below Trend","On Track","On Track","06/03 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-04 00:00:00",0,0,0,0
"2015-06-03 00:00:00",45066,45066,7500,247697,97566,w1,w1,"2015-06-03 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,1,1,41983,1259500,293882,Available,Available,Limited,120%,120%,120%,"Below Trend","On Track","On Track","06/04 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-04 00:00:00",0,0,0,0
"2015-06-04 00:00:00",7500,7500,7500,7500,142566,w2,w2,"2015-06-04 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,0,0,41983,1259500,293882,Available,Available,Available,120%,120%,120%,"On Track","On Track","On Track","06/05 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-11 00:00:00",1,1,0,0
"2015-06-05 00:00:00",52501,52501,15000,60001,195067,w2,w2,"2015-06-05 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,1,1,41983,1259500,293882,Available,Available,Available,120%,120%,120%,"Above Trend","On Track","On Track","06/06 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-11 00:00:00",1,1,0,0
"2015-06-06 00:00:00",0,0,0,0,0,w3,w2,"2015-06-06 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-11 00:00:00",1,0,0,0
"2015-06-07 00:00:00",0,0,0,0,0,w3,w2,"2015-06-07 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-11 00:00:00",1,0,0,0
"2015-06-08 00:00:00",22498,22498,22498,142499,277565,w3,w2,"2015-06-08 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,0,0,41983,1259500,293882,Available,Available,Available,120%,120%,120%,"Below Trend","On Track","Below Trend","06/08 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-11 00:00:00",0,0,0,0
"2015-06-09 00:00:00",52504,52504,7500,195003,330069,w3,w2,"2015-06-09 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,1,1,41983,1259500,293882,Available,Available,Limited,120%,120%,120%,"Below Trend","On Track","On Track","06/10 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-11 00:00:00",0,0,0,0
"2015-06-10 00:00:00",37566,37566,45066,232569,367635,w3,w2,"2015-06-10 00:00:00","PILOT TRAVEL CENTE-122194-W/S - UNB Contract","Valero - Ardmore (PBAM)","DSL - LSD/ULSD",34986,1049580,244902,1,1,41983,1259500,293882,Out,Available,Limited,120%,120%,120%,"On Track","On Track","On Track","06/10 00:00:00 CDT","07/01 00:00:00 CDT",0,"2015-06-11 00:00:00",0,0,0,0
