index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-01 00:00:00",0,0,0,0,0,w1,w1,"2015-07-01 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Available,Available,Available,,,,,,,"07/02 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-07 00:00:00",1,1,1,1
"2015-07-02 00:00:00",0,0,0,0,0,w1,w1,"2015-07-02 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Available,Available,Available,,,,,,,"07/03 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-07 00:00:00",1,1,1,1
"2015-07-03 00:00:00",0,0,0,0,0,w1,w1,"2015-07-03 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Available,Available,Available,,,,,,,"07/04 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-07 00:00:00",1,1,1,1
"2015-07-04 00:00:00",0,0,0,7504,7504,w1,w1,"2015-07-04 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Available,Available,Available,,,,,,,"07/05 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-07 00:00:00",0,0,0,0
"2015-07-05 00:00:00",7700,7700,0,15204,15204,w1,w1,"2015-07-05 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,1,1,7000,1000000,300000,Available,Available,Available,,,,,,,"07/06 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-07 00:00:00",0,0,0,0
"2015-07-06 00:00:00",7700,7700,0,22904,22904,w1,w1,"2015-07-06 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,1,1,7000,1000000,300000,Available,Available,Available,,,,,,,"07/07 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-07 00:00:00",0,0,0,0
"2015-07-07 00:00:00",7700,7700,7700,7700,30604,w2,w2,"2015-07-07 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Out,Available,Available,,,,,,,"07/08 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-14 00:00:00",1,1,0,0
"2015-07-08 00:00:00",0,0,0,7700,30604,w2,w2,"2015-07-08 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Available,Available,Available,,,,,,,"07/09 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-14 00:00:00",1,1,0,0
"2015-07-09 00:00:00",0,0,0,0,0,w3,w2,"2015-07-09 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-14 00:00:00",1,0,0,0
"2015-07-10 00:00:00",7701,7701,7701,30605,53509,w3,w2,"2015-07-10 00:00:00","PILOT TRAVEL CENTERS LLC - PRODUCT","Albuquerque NM - VEC - T109",V,0,0,0,0,0,7000,1000000,300000,Out,Available,Available,,,,,,,"07/11 00:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-14 00:00:00",0,0,0,0
