index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-13 00:00:00",19200,19200,0,35225,0,w4,w3,"2015-07-13 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-14 00:00:00",14350,14350,0,49575,0,w4,w3,"2015-07-14 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-15 00:00:00",6300,6300,0,55875,0,w4,w3,"2015-07-15 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-16 00:00:00",17600,17600,0,73475,0,w4,w3,"2015-07-16 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-17 00:00:00",15000,15000,0,88475,0,w4,w3,"2015-07-17 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-18 00:00:00",1,1,0,0
"2015-07-18 00:00:00",14901,14901,0,14901,0,w5,w4,"2015-07-18 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-19 00:00:00",13750,13750,0,28651,0,w5,w4,"2015-07-19 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-20 00:00:00",7600,7600,0,36251,0,w5,w4,"2015-07-20 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-21 00:00:00",21000,21000,0,57251,0,w5,w4,"2015-07-21 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
"2015-07-22 00:00:00",17700,17700,0,74951,0,w5,w4,"2015-07-22 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-25 00:00:00",1,1,0,0
