index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-01 00:00:00",0,0,0,0,8917,w1,w1,"2015-07-01 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,0,0,15539,481715,108774,Available,Available,Available,100%,100%,100%,0%,63%,0%,"07/02 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-02 00:00:00",17723,17723,17723,17723,26640,w1,w1,"2015-07-02 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,0,0,15539,481715,108774,Out,Available,Available,100%,100%,100%,145%,112%,145%,"07/02 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-03 00:00:00",0,0,0,17723,26640,w1,w1,"2015-07-03 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,0,0,15539,481715,108774,Available,Available,Available,100%,100%,100%,0%,74%,73%,"07/03 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-04 00:00:00",17412,17412,0,35135,44052,w1,w1,"2015-07-04 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Available,100%,100%,100%,0%,86%,89%,"07/04 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-05 00:00:00",17695,17695,8799,52830,61747,w1,w1,"2015-07-05 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Available,100%,100%,100%,106%,93%,96%,"07/05 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-06 00:00:00",17805,17805,8907,70635,79552,w1,w1,"2015-07-06 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Available,100%,100%,100%,108%,97%,100%,"07/06 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-07 00:00:00",17427,17427,0,88062,96979,w1,w1,"2015-07-07 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Limited,100%,100%,100%,0%,91%,93%,"07/08 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-08 00:00:00",8805,8805,8805,96867,105784,w1,w1,"2015-07-08 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,0,0,15539,481715,108774,Available,Available,Limited,100%,100%,100%,81%,91%,93%,"07/08 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-08 18:00:00",0,0,0,0
"2015-07-09 00:00:00",0,0,0,0,0,w2,w2,"2015-07-09 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-15 18:00:00",1,1,0,0
"2015-07-10 00:00:00",8893,8893,8893,44234,150018,w2,w2,"2015-07-10 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,0,0,15539,481715,108774,Available,Available,Available,100%,100%,100%,354%,97%,132%,"07/11 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-15 18:00:00",0,0,0,0
"2015-07-11 00:00:00",8804,8804,0,53038,158822,w2,w2,"2015-07-11 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Available,100%,100%,100%,0%,94%,108%,"07/12 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-15 18:00:00",0,0,0,0
"2015-07-12 00:00:00",17422,17422,0,70460,176244,w2,w2,"2015-07-12 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Available,100%,100%,100%,0%,95%,109%,"07/13 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-15 18:00:00",0,0,0,0
"2015-07-13 00:00:00",17526,17526,0,87986,193770,w2,w2,"2015-07-13 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Limited,100%,100%,100%,0%,97%,110%,"07/14 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-15 18:00:00",0,0,0,0
"2015-07-14 00:00:00",8709,8709,0,96695,202479,w2,w2,"2015-07-14 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Limited,100%,100%,100%,0%,94%,101%,"07/15 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-15 18:00:00",0,0,0,0
"2015-07-15 00:00:00",0,0,0,96695,202479,w2,w2,"2015-07-15 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,0,0,15539,481715,108774,Available,Available,Limited,100%,100%,100%,0%,91%,94%,"07/15 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-15 18:00:00",0,0,0,0
"2015-07-16 00:00:00",17622,17622,0,17622,228910,w3,w3,"2015-07-16 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,15539,481715,108774,1,1,15539,481715,108774,Available,Available,Available,100%,100%,100%,0%,93%,98%,"07/17 18:00:00 MDT","08/01 00:00:00 MDT",0,"2015-07-22 18:00:00",1,1,0,0
