,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,362,543,BATON ROUGE LA (MOC) - 00CE,0,543,543,543,07/02 00:00:00 CDT,362,Prem CG DS,Daily,10,2015-07-01 23:47:57,507926,2015-07-01
1,Exxon,Contract,Above Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,2534,3548,BATON ROUGE LA (MOC) - 00CE,6000,-2452,543,543,07/02 00:00:00 CDT,2534,Prem CG DS,Weekly,10,2015-07-01 23:47:57,507927,2015-07-01
2,Exxon,Contract,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,362,543,BATON ROUGE LA (MOC) - 00CE,5500,-4957,0,0,07/03 00:00:00 CDT,362,Prem CG DS,Daily,6,2015-07-02 14:47:21,527001,2015-07-02
3,Exxon,Contract,Above Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,2534,3548,BATON ROUGE LA (MOC) - 00CE,5500,-1952,0,0,07/09 00:00:00 CDT,2534,Prem CG DS,Weekly,6,2015-07-02 14:47:21,527002,2015-07-02
4,Exxon,Contract,Below Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,362,543,BATON ROUGE LA (MOC) - 00CE,0,543,0,0,07/04 00:00:00 CDT,362,Prem CG DS,Daily,2,2015-07-03 09:23:07,534842,2015-07-03
5,Exxon,Contract,Above Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,2534,3548,BATON ROUGE LA (MOC) - 00CE,5500,-1952,0,0,07/09 00:00:00 CDT,2534,Prem CG DS,Weekly,2,2015-07-03 09:23:07,534843,2015-07-03
6,Exxon,Contract,Below Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,362,543,BATON ROUGE LA (MOC) - 00CE,0,543,0,0,07/05 00:00:00 CDT,362,Prem CG DS,Daily,2,2015-07-04 08:42:40,540904,2015-07-04
7,Exxon,Contract,Above Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,2534,3548,BATON ROUGE LA (MOC) - 00CE,5500,-1952,0,0,07/09 00:00:00 CDT,2534,Prem CG DS,Weekly,2,2015-07-04 08:42:40,540905,2015-07-04
8,Exxon,Contract,Below Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,362,543,BATON ROUGE LA (MOC) - 00CE,0,543,0,0,07/06 00:00:00 CDT,362,Prem CG DS,Daily,2,2015-07-05 08:42:30,547347,2015-07-05
9,Exxon,Contract,Above Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,2534,3548,BATON ROUGE LA (MOC) - 00CE,5500,-1952,0,0,07/09 00:00:00 CDT,2534,Prem CG DS,Weekly,2,2015-07-05 08:42:30,547348,2015-07-05
